sentence,hate,category
13549 14750,0,religion
4677 13865 6879 7552 14359,1,politics
2563 3604 4734 10256 5319 3038 3435,0,politics
2556 2633 10699 11348 10994 8322 6775 10290 12899 2633 5477 4001 10482 13755 12064 4094,1,politics
388 10938 2116 4863 2323,0,"Meme, TikTok and others"
2175 11354 14864 14826 14773 14684 11432,1,religion
6994 10794 2884 9679 12639 4969 12801 1295,0,religion
9936 10159 3265 7562 626 9883 4772 5919 3691 1481 6452 13699 10839,1,crime
13097 5786 8560 11864 10713 494 11774 9501 2937 11421,1,religion
1655 3085 5504 4066 1983 2640 14565 4924 13593,0,politics
2924 9677 12398 11160 3504 12958,1,religion
2171 11677 12478 2884 4724 409 9501 972 7794 13881 1497 525 3676 6069 13539 4489 7279 6808 7081 2147,1,entertainment
13865 5675 12343 9677 6104 9844 11234 7420 6684,1,sports
11440,1,"Meme, TikTok and others"
531 490 10520 7662 8013 5043 3595 8191 1664 11670 12478 14834,1,entertainment
9995 3370 8621 4968,1,entertainment
13875 9995 9793 14643 7583 7584 6298,1,entertainment
12588 12008 13755 7753 12870 13646 2116 9438 1176 11496 12588 12007 1662 13169 3575 496 2735 7342 169 7753 12588 12008 9747 2593 12054 14734 11500 9575 4917,1,politics
5319 11635 5927 5927,1,"Meme, TikTok and others"
7540 9971 5171 9269 14556 5872 3258 6261 8786 2752 699 2875 6889 1527 14468 6794 13699 11720 1237 3371 2717 6324 6910 699 2875 5813 13203 11899,1,crime
9334 2181 14456 1749 12903 2348 12675 2831 6104 4838 12028 13814 11839 6786 7527 10463 2924 9677,1,crime
10938 12769 6760 3849,0,entertainment
4863 10794 6091 527 6994 169 3158 13381 2116 3849 3471 10916 12770 14203 1071,0,politics
8073 9884 11406 987 5887 626 12926 11219 6301 8041 2757 7049 2792 3732 12936 12769 2852 4969 8072 963 9401 14592 3634 11218 9883 9883 3720 3761 3720 3732 3652,1,entertainment
10968 13266 11184 14456 14621 9677 2496 9575 2974 3830 13205 9815 9575 4635 8690 1790 9575 2974 4852 11554 264 13175 10994 920 6878 10938,1,"Meme, TikTok and others"
12629 5133 7012 1001 1789 1533 5387,1,crime
10215 2077 15029 8076 8086,0,entertainment
4605 4449 13150 13889 4189 9339 2090 13127 6436 6368,1,crime
7594 14341 4613 14336 10963 10966 741 6016 3782 4559 741 6117 15051 14594 2158 14594 2158 12279 1204 3719 11139 5399 7489 10186 9498 15187 7602 11139 14742 10248 5568 12417 6107 5331 8155 6161,1,sports
13281 9691 8791 6893 7092 6513 8791 13938 1896 5713 13283 4451 357 12864,1,crime
1201 1669 2116 4149 9575 11508 14732 11050 11533 14457 11055 13743 11512 6689 5107 1669 2116 8093 4045 2463 8115 7141 15002 9575 6317 1662 10938 10647 1669 11532 8257 5269 7489 2116 9441 1776 6910 9613 11532 13250 48 8761 3600 1669 1368 12972 6087 13809 3406 4839 48 2125 13266 48 1497 8221 48 3026 9575 11508 13503 9947 11521 6683,0,sports
2924 9686 9995 6452 2999 10663 13191 9995 9804 1455,1,entertainment
12087 758,0,"Meme, TikTok and others"
10007 3843 11431,1,entertainment
11646 13003 5460 8531 3972 11801 5781,1,"Meme, TikTok and others"
9994 4149,0,crime
1959 2721 1959 13755 14166 9166 9965 3849 13772 539 11512 14565 12035 9755 12035 5378 8070 1737 1655 7843 481 7525 13283 832 5500 8925 14302 13592 9979 12913 7645 268 6579 13755 9768 14485 3923 12410 8162 11276 4791 9974 3709 3586 3849 6743 8202 11277 11508 5546 2116 9379 5118 2101 10719 12579 6675 5477 12578 10051 5500 5501 1662 10024 10043 7303 14251 11809 11276 7098 2034 2551 8670 12052 5549 2841 1394 4124 2449 9122 11277 13684 13652 259 13763 6366 10639 13208 6129 551 13916 11276 672 7870 13500 14892 264 13420 14925 1204 9974 10104 5436 3222 1655 9926 5650 13039 13462 11783 14554 11781 2868 9677 2099 7878 7775 9987 2099 11512 3712 4225 12040 3849 672 2485 6879 8314 12366 3014 12035 8579 3085 3085 5500 14562 7571 10095 13317 7807 6749 9971 1191 11781 14251 11808 4332 1662 9110 10661 11781 356 5658 674 6130 7635 11020 3798 12371 7900 1737 1655 264 1737 1655 6130 7636 4851 7664 7866 11558 5729 6253 2299 11908 10321 6359 9974 7632 11782 14554 11781 14251 11807 673 5729 12440 5534 6166 505 12327 2819 5076 7190 6517 8674 8303 9274 1749 3085 3085 5500 2706 5040 11784 14251 11808 673 5723 921 12440 7866 2450 8682 8763 674 7751 13691 9974 5206 8613 14587 11560 5729 13664 13075 6532 264 1089 9197 7503 7773 12214 8836 11725 10839 910 9230 7420 2402 5810 1308 14198 4623 11480 8748 11206 5810 5098 704 986 2244 11652,0,politics
1140 5849 6358 6882 13441 1409 12703 14804 6365 1044 10035 9438,0,religion
1140 13476 2744 10853 6563,0,"Meme, TikTok and others"
5665 11139,1,crime
11338 8640 12061 6954 6889 3030 12059 11614 8580 2301 12059 7699 13755 8274 12311,1,crime
4681 1566,0,"Meme, TikTok and others"
2205 2337 11184 10938,0,entertainment
14288 13269 4716 1692 914 11579 10366 10990 14288 2126 13455,0,celebrity
2924 9691 6110 1421 7031 2224 9377 11167 7303 7619,1,religion
13102 5319 6548 8542 1456 3471 10699 11184 14889 10449 9023 10400 11637 4513 469 6775 3665 5414 2145 8206 10002 4526 9505 12596 13109,1,entertainment
1669 10520 7325 14,1,sports
12367 6361 6994 14036 2801 1569 169,0,crime
13722 1655 7325 14619,1,"Meme, TikTok and others"
6473 8468 2116 13270 6925 13625 13397 1655 5830 10050 14923,0,politics
12545 14420 6423 2713 785 11287 9844 12064 7914 4858 6920 12054 7674 13600 5430 8912 11287 9844 1573 10215 4851 9380 10215 12066 4100 6847 13570 7674 13598 7805 13597 8690 14374 4009 4009 523 5541 4632 14236 7569 6423 2713 12064 9380 1145 6091 9354 14099 2440 14204 340 6795 1224 1415 7672 10080 12020 4129 14083 13568 3975,0,crime
10535 4561 6087 2583 2643 2546 8621 12398 8983 2472,1,crime
13809 11627 4337 6099 1839 8518 6039 11338 8419,1,sports
11480 7643 6994 1359 8379,0,politics
13865 6585 11323 11335,1,sports
6715 9635 11627 4409,1,religion
11017 6104 8045 11009 5161 12378 10822 4761 6242 4183 9908 14430,1,politics
3037 8127 1669 8126 6280 7196 11442,1,crime
8096 5319 6548 8345 10911 6404,0,sports
9055 4149 13872,1,crime
3636 14553 8081 3440 10837,0,entertainment
6104 14794 11354 8621,1,celebrity
14293 6954 2409 11278 13737 2505 3321 13016 14921 14288 2505 6452 11975 2874 13481 2116 11184 7168,1,crime
3145 5237 12793 9467 1439 613 9467 4687 5953,1,religion
5432 1209 14348,0,politics
6593 1709 6170,0,"Meme, TikTok and others"
4838 4853 9216 5142 3406,1,"Meme, TikTok and others"
2734 9858 3751 6503 8094 8094 5839 5319 6548 9956 5827 11572 9103 6429 14602 2924 9590,1,sports
13870 9055 6261 5713 4555,1,crime
2865 13435 3871,1,politics
3422 8005 4884 5169 12461 12341 13119 7686 6039 14708 12039 13294 9677,1,politics
11508 898 5370 8094 898 13097 14621 9677,1,sports
11003 13322 1655 8484 10800 3167 7893 1666 13755 10191 7565 2116 9386 3989 8484 10805 13658 5427 9994 13535 1455 169,0,crime
14288 3707 6378 2200,0,celebrity
9742 9605 3107 12587 3720,1,sports
10938 8925 12769 7168 6403 11637 7384 7391,0,politics
13097 1461 5527 9374 5477 5527 1266 3920 14764 11540 13097 11906,1,entertainment
6326 2004 6989 3605 4412 14452,1,"Meme, TikTok and others"
9968 1833 8320 11540 5190 6297,1,politics
1370 9566 2071 722 6492 7303 7068 9552 6906 14823 1373 6879,0,sports
9055,0,religion
10794 14191 12479,1,entertainment
13121 5319 11572,1,"Meme, TikTok and others"
11125 7948 1033 7949 13104 9337 8774 5813 2852,1,crime
6585 11323,1,entertainment
3810 13424 13097 8017,1,religion
10833 13722 10835 11680 13838 5283 14604 2719 1849 13722 10835 9758 8169 13722 10835 9058 9758 11184 13838 5283 4974 9758 13722 10833 918 9561 3514 6910 3534 758 13755 6906 14194 4471 13002 6378 10491 6906 3524 3518 6260 7200 14172 13722 9488,0,sports
541 13968 14195 6482 4111 6775 8811 5348 12265 13973 3720 119 3723 10916 12769 3114 11053 12301 119 14177 534 4932 783 2652 9733 3732 2116 14074 11966 11069 13971 327 8836 4110 13971 906 13393 2793 2744,0,entertainment
3342 9848 2833 1140 1283 5120 1012 7449 8157 906 3342 9844 1191,0,religion
5985 5985 5985 1815 3406 11323,1,entertainment
963 1300 7917 1228 3449 8310 10047 7975 5712 6699,1,sports
2884 9703 9562 10447 13530 1914 14350,0,religion
3722 14858 9888 9016 15092,1,crime
2924 9919 2044 10794,1,"Meme, TikTok and others"
2911,0,politics
14191 9557 4654 15009,0,politics
10794 1982 2636 1655 3971 11912 5346 6683,0,politics
5170 11118 12398 13506 7088 3438 1253 13359 12120,1,religion
5319 6087 9030,1,crime
934 2116 13266 2538 12746 10797 3902,0,sports
11400 2713 13755 2713 2116 6019 3104 2554 2541 2541 3104 10388 3422 5288 6087 11400 7157 14463,0,politics
12980 4033 14731 7168,0,celebrity
9936 14020 10794 9937 6110 8223 11449 3107 12061 10191 14512 2309 6110 1590 6820 6442 9836 10401 6169 7420 2229 1920 5713 5717 7692 9994 6780 13129 8959 11086 6683,1,crime
13097 3546 7168 10520 1655 7326,1,sports
216 13865 4227 10200 12596 6954 4823 13098 6954 13722 13127 13724 8137,1,sports
7599 5219 11614 1763 4314 2660 2363 14611,0,crime
3370 9677 13056 548 1111 5269 7363 11338 9678,1,religion
2556 2556 9411 9411 2790 7325 2031 2556,0,politics
3633 6991 4115 8191 7168,0,entertainment
12086 487 11424 9055 4149,1,"Meme, TikTok and others"
12102 1655 10364 2985 14708 11930,0,"Meme, TikTok and others"
6104 9221 4423 13198,1,"Meme, TikTok and others"
8105 1322 13722 7544 3085 11532 2116 8093 5324 803 3187 10592 9946,1,sports
3239 14529 2526 14901 15126 14391 8437 3299 649 15091,1,celebrity
2879 4510 11508 9804 13609 4714 2070 11508 14444,1,politics
9900 3077,0,celebrity
5147 7270 6755 2463 2205 5087,0,entertainment
5996 6411 11307 4409,1,sports
9571 3265,0,"Meme, TikTok and others"
3591 9900 12873 4149,1,politics
12062 1669 11641,1,entertainment
1689 13944 11761 14415 2655 5000 9994 4149 1897 11766 14544 4854 11603 5041,0,crime
14641 6910 3187 7093 7773,1,sports
4658 10916 12958 6834 6772 6994 902,0,entertainment
2877 4838 8577 5319 8355 10994 4543 8084 807 8202,1,"Meme, TikTok and others"
13441 2116 9319,0,religion
1078 10794 13505 13660 9422 4118 7235 1664 11597 7489 9420 13660 12020 7651 11487 11635 11572 6703 6972 3114 1849 3751 3751 6710 14468 13660 9422 2071 14456,0,sports
12488 11987 12916 12488 1184 4832 6926 9981 11317 7858 12672 12810 11719 7786 6845 6289 10440 7815 12916 11987 5500 14560 1176 1990 12782 12035 10447 3148 7082 11719 12993 12488 11990 5067 2971 4838 11987 13952 8929 12488 11991 11843 6215 2884 3794 11320 9259 11987 12783 10447 7082 4738 3360 14723 11718 1991 9260 4838 10938 9478 1965 4838 4773 3498,1,"Meme, TikTok and others"
4753 14404,0,politics
7360 3518 3471 10938 10597 6900 1655 7322 4311 2130 1655 12091 6610 1655 9168 4435 15160 10669 13317 15149 1818 9418 7360 10794 5790 3523 11176 12028 13617 2405 10439 7748 7142 12022 1655 7169 12028 11050 8090 2441 8117 13744 902 11550 2404,0,sports
9927 5742 9528 2713 5477 6884,0,"Meme, TikTok and others"
13722 3518 1323 2454,0,sports
409 12321,0,crime
5952 2150 14036 13097 4089 10743 6775 6188 1320,1,religion
3370 8621 13205 6784,1,"Meme, TikTok and others"
